Restaurant Name,Rating,Reviews,Cuisine,Address,City,Restaurant URL,Image URL
Spice Nation,4.3,39.0,"North Indian, Chinese, Continental","Saujanya Society, Teen Rasta, Opposite Bhavans School, Makarpura Road, Manjalpur, Vadodara",vadodara,/vadodara/spice-nation-manjalpur/info,https://b.zmtcdn.com/data/pictures/8/3200448/a96f1b16f92eb5b6b000177da32b8070_featured_v2.jpg
Zoca Diner,4.1,939.0,"North Indian, Chinese, Fast Food","19-20, First Floor, Neptune Trion, Sarabhai Campus, Subhanpura, Near Courtyard Marriott, Subhanpura, Vadodara",vadodara,/vadodara/zoca-diner-subhanpura/info,https://b.zmtcdn.com/data/pictures/2/21746462/77d0dc36f65bb66f958480fde6039b43_featured_v2.jpg
The Brewery,4.0,2186.0,"Pizza, Cafe, Desserts","R-1, Museum Square, Alembic Road, Gorwa, Vadodara",vadodara,/vadodara/the-brewery-gorwa/info,https://b.zmtcdn.com/data/pictures/1/20711721/edbe6b2858340b18eecdb8708723da82_featured_v2.jpg
The House Of Makeba ,4.3,606.0,"North Indian, Italian","Ground & First Floor, Arun Complex, near CH Jewellers, near Old HDFC Bank, Aradhana Society, Alkapuri, Vadodara",vadodara,/vadodara/the-house-of-makeba-alkapuri/info,https://b.zmtcdn.com/data/pictures/5/21973075/503ebb453efff91323e74532dd17cf21_featured_v2.jpg
Thyme & Whisk,4.1,4684.0,"Continental, Salad, Mexican","Shop 3, Ground Floor, Emerald Building, Chakli Circle, Race Course Road, Vadiwadi, Vadodara",vadodara,/vadodara/thyme-whisk-vadiwadi/info,https://b.zmtcdn.com/data/pictures/2/3202122/be2260d0586236a0f5e0f00b74602992_featured_v2.jpg
The Table At Splatter,4.2,1699.0,"Cafe, Coffee, Shake","Anand Nagar, Haripura, Opposite Navjivan Nursing Home, Productivity Road, Alkapuri, Vadodara",vadodara,/vadodara/the-table-at-splatter-alkapuri/info,https://b.zmtcdn.com/data/pictures/2/20109452/5590ecee52d8f363484ea70ab47664c9_o2_featured_v2.jpg
After Dunes Cafe,4.4,169.0,"Beverages, Desserts, Salad","FF-105,106 NEPTUNE TRION, ALEMBIC GORWA ROAD, Gujarat",vadodara,/vadodara/after-dunes-cafe-2-alkapuri/info,https://b.zmtcdn.com/data/pictures/0/22504080/e84e3cb5a347c92c05cb3a10f715fabe_o2_featured_v2.jpg
Soul Affair,4.4,1594.0,"Salad, Continental, Mexican","Top Floor, 1-5, Sharnam Fortune, Race Course Road, Vadiwadi, Vadodara",vadodara,/vadodara/soul-affair-vadiwadi/info,https://b.zmtcdn.com/data/pictures/4/19245184/0e0fd5b2fdd9c609cc3ac89d49366241_featured_v2.jpg
Dialogue Cafe,4.3,1271.0,"Cafe, Continental, Mexican","SCO -301-302, Himalaya Marg, Sector 35, Chandigarh",chandigarh,/chandigarh/dialogue-cafe-sector-35/info,https://b.zmtcdn.com/data/pictures/4/18997274/10f499b920185d5bed1ea8a53c0c89e7_o2_featured_v2.jpg
The Coffee Bean & Tea Leaf,4.3,6565.0,"Cafe, Tea, Beverages","Himalaya Marg, Sector 22 C, Near Sector 22, Chandigarh",chandigarh,/chandigarh/the-coffee-bean-tea-leaf-sector-22/info,https://b.zmtcdn.com/data/pictures/chains/4/120934/eaa7e5c9b2e1964315279fc48f396339_featured_v2.jpg
Woodhouse Cafe,4.0,28.0,"Chinese, Continental, Pizza","SCO 10 D, Backside Entry, Sector 10, Chandigarh",chandigarh,/chandigarh/woodhouse-cafe-sector-10/info,https://b.zmtcdn.com/data/pictures/2/22440272/8fd8e89a0875c880c5ef991a565802e0_o2_featured_v2.jpg
Tulum Rooftop Bar & Kitchen,3.1,677.0,"Continental, Mexican, Pizza","The Toy Hotel, SCO 165-167, Sector 34 A, Sector 34, Chandigarh",chandigarh,/chandigarh/tulum-rooftop-bar-kitchen-sector-34/info,https://b.zmtcdn.com/data/pictures/5/19584185/ea11d6d83887af2a974d009f20c142f5_featured_v2.jpg
The G.T. Road,4.3,1695.0,"North Indian, Mughlai, Desserts","SCO 12, Madhya Marg, Sector 26, Chandigarh",chandigarh,/chandigarh/the-g-t-road-sector-26/info,https://b.zmtcdn.com/data/pictures/9/18812819/730cef3e8f9e15eb8b265c05a57f9ffe_o2_featured_v2.jpg
Victoria's Boutique Café,4.0,34.0,"Cafe, Coffee, Beverages","Shop 37, Block 8, Inner Market, Sector 8, Chandigarh.",chandigarh,/chandigarh/victorias-boutique-café-sector-8/info,https://b.zmtcdn.com/data/pictures/6/20992406/d6813b8abc9af335eea9b2ac0e536ef0_featured_v2.jpg
Cafe Cake Delights,4.2,2829.0,"Bakery, North Indian, Continental","SCO 487/488, Sector 35, Chandigarh",chandigarh,/chandigarh/cafe-cake-delights-sector-35/info,https://b.zmtcdn.com/data/pictures/4/21271874/6b127a4c36679c95ccf952f57473dd4d_featured_v2.jpg
Diablo,4.3,251.0,"European, Turkish","Plot 216, Steel Market, Sector 29D, Chandigarh Industrial Area, Chandigarh",chandigarh,/chandigarh/diablo-chandigarh-industrial-area/info,https://b.zmtcdn.com/data/pictures/5/21732195/b4aee222fedd081b8510020a1517cbc2_featured_v2.jpg
KOMO HOUSE,4.2,395.0,"North Indian, Chinese, Japanese","Ground Floor, SCO 40 backside, Madhya Marg, Sector 7, Chandigarh",chandigarh,/chandigarh/komo-house-sector-7/info,https://b.zmtcdn.com/data/pictures/9/22470049/4410d74fb62c504a48b3705e212d069a_o2_featured_v2.jpg
The Afghan Grill - The Residency Hotel,4.0,404.0,"North Indian, South Indian, Mughlai","1076, The Residency, Avinashi Rd, Race Course, Coimbatore",coimbatore,/coimbatore/the-afghan-grill-the-residency-hotel-race-course/info,https://b.zmtcdn.com/data/pictures/7/3000007/b0138adeb4b5d89dcf151072bf69ca4b_featured_v2.jpg
Chin Chin - The Residency Hotel,4.2,517.0,"Chinese, Japanese, Asian","1075/1076, Avinashi Road, Race Course, Coimbatore",coimbatore,/coimbatore/chin-chin-the-residency-hotel-race-course/info,https://b.zmtcdn.com/data/pictures/4/3000004/ad3d98c4db1ee82a90291cb9d4ea6383_featured_v2.jpg
The Cavern @312,4.2,822.0,"Chinese, Italian, Asian","312, New Siddhapudur, Bharathiyar Road, Gandhipuram, Coimbatore",coimbatore,/coimbatore/the-cavern-@312-gandhipuram/info,https://b.zmtcdn.com/data/pictures/9/19319589/043f173526e0d4f3f3cf86bf00f65729_o2_featured_v2.jpg
Rajapalayam  Anandas,4.3,438.0,"South Indian, Biryani","48/1, 48/2, Ground Floor, Avarampalayam, Ward-28, North Zone, Navaindia Road, Lakshmi Mills, Coimbatore",coimbatore,/coimbatore/rajapalayam-anandas-lakshmi-mills/info,https://b.zmtcdn.com/data/pictures/9/22334599/d158299fd88ec3f0e2f66a9624f2a8c5_o2_featured_v2.jpg
Put Kadalai,4.3,63.0,"Cafe, Continental, Juices","Thirugnanasambandam Road, Race Course, Coimbatore",coimbatore,/coimbatore/put-kadalai-1-race-course/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png
ZEN Lounge & Kitchen,4.0,18.0,"Chinese, North Indian, Pizza","Nava India, Lakshmi Mills, Coimbatore",coimbatore,/coimbatore/zen-lounge-kitchen-lakshmi-mills/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png
Wok N Knife,4.0,119.0,"Thai, Chinese, Beverages","405, Ramasamy Street, Ward 12, N.S. R Road, Saibaba Colony, Coimbatore",coimbatore,/coimbatore/wok-n-knife-saibaba-colony/info,https://b.zmtcdn.com/data/pictures/8/22449778/7df096784b0b87543bb6ea5f5e905d9b_o2_featured_v2.jpg
Beyond The Stories,4.5,714.0,"North Indian, South Indian, Asian","173/C, NSR Main Road, Saibaba Colony, Coimbatore",coimbatore,/coimbatore/beyond-the-stories-saibaba-colony/info,https://b.zmtcdn.com/data/pictures/1/21861221/876b1a533fbbb1be7fc550b7dfd525e9_featured_v2.jpg
Hattan,4.4,345.0,"North Indian, South Indian","43, Poppys Tower, Opposite Collector Bungalow, Race Course Road, Race Course, Coimbatore",coimbatore,/coimbatore/hattan-race-course/info,https://b.zmtcdn.com/data/pictures/8/18755748/bb928a47c44beadbb8fccc4cfbce7122_featured_v2.jpg
Elevate Resto - Travancore Court,4.3,60.0,"North Indian, South Indian, Chinese","Travancore Court, Warriam Road, Pallimukku, Kochi",kochi,/kochi/elevate-resto-travancore-court-pallimukku/info,https://b.zmtcdn.com/data/pictures/6/19324086/1c2bd2d03f9848e111e7c05e84b729b0_o2_featured_v2.jpg
Cafe Itallo,4.5,2265.0,"Cafe, Coffee, Italian","38/596 B, Rahul Tower, SA Road, Panampilly Nagar, Kochi",kochi,/kochi/cafe-itallo-panampilly-nagar/info,https://b.zmtcdn.com/data/pictures/2/21066322/7d6ee22591b4cee9dba157bbf929119a_featured_v2.jpg
Latest Recipe - Le Méridien Kochi,4.3,2658.0,"North Indian, Continental, Chinese","Le Méridien, Nettoor, Marad, Kochi",kochi,/kochi/latest-recipe-le-méridien-kochi-marad/info,https://b.zmtcdn.com/data/pictures/6/95426/4a987c1062bcacafb0b41923529a8036_featured_v2.jpg
Roastown,4.5,1141.0,"Asian, Italian, Burger","37/3469-A1, A2, A3, Old Cheranallur Road, Edappally, Kochi",kochi,/kochi/roastown-edappally/info,https://b.zmtcdn.com/data/pictures/7/20853217/aa429c3fc5e29d584608d50b841ad04d_o2_featured_v2.jpg
Tharavadu Multi Cuisine Restaurant Casino Hotel,4.4,862.0,"Kerala, North Indian, Continental","Casino Hotel, KPK Menon Rd, Willingdon Island, Kochi",kochi,/kochi/tharavadu-multi-cuisine-restaurant-casino-hotel-willingdon-island/info,https://b.zmtcdn.com/data/pictures/9/95409/53cda1e34b8e79ba3411f4e9cafe38a4_featured_v2.jpg
Masala - Holiday Inn Cochin,4.2,356.0,"Kerala, Chinese, Italian","Holiday Inn, 33/1739 A, NH Bypass Road, Vennala, Kochi",kochi,/kochi/masala-holiday-inn-cochin-vennala/info,https://b.zmtcdn.com/data/pictures/8/95418/b29d28f7b056d06cb0898f78ee27468a_featured_v2.jpg
Westleys Restocafe,4.3,5906.0,"Cafe, Coffee, Continental","34/1864-C38/2535, Metro Pillar 481, Opposite to ARC Fertility Clinic, Mamangalam, Kalliyath Building, Palarivattom, Kochi",kochi,/kochi/westleys-restocafe-palarivattom/info,https://b.zmtcdn.com/data/pictures/9/901159/75ce5aafca8a511575553e63717a0890_featured_v2.jpg
Fort House Restaurant,4.5,627.0,"Seafood, Kerala, Fast Food","2/6-A, Calvathy Road, Fort Kochi, Kochi",kochi,/kochi/fort-house-restaurant-fort-kochi/info,https://b.zmtcdn.com/data/pictures/1/95271/d2f87170b003cd7f5e9ec6c3afb83089_featured_v2.jpg
TOT - Talk Of The Town,4.3,374.0,"Continental, North Indian, South Indian","38/4016B, Ground Floor, Shahi Complex, Metro Pillar 482, Edappally, Kochi",kochi,/kochi/tot-talk-of-the-town-edappally/info,https://b.zmtcdn.com/data/pictures/0/21824940/e4ee178f468abab41fe83fbe6500eae7_o2_featured_v2.jpg
