Restaurant Name,Rating,Reviews,Cuisine,Address,City,Restaurant URL,Image URL
Angry Sardar,4.5,503.0,"North Indian, Chinese, Mughlai","Road 2, Parkview Enclave, Banjara Hills, Hyderabad",Hyderabad,/hyderabad/angry-sardar-banjara-hills/info,https://b.zmtcdn.com/data/pictures/0/22453120/10c775cc-1d45-4390-9813-ae051e4695aa_o2_featured_v2.jpg
Authentic Belgian Waffles,3.9,4.0,"Desserts, Fast Food, Shake","House 4-7-3/2/A/B/B, Plot 32, Survey 374/1, Near Tara College, Sangareddy, Hyderabad",Hyderabad,/hyderabad/authentic-belgian-waffles-sangareddy-hyderabad/info,https://b.zmtcdn.com/data/pictures/chains/7/19825617/059d73de3702b80f459bac6d87ff071a_featured_v2.jpg
Telangana Spice Kitchen,4.4,5839.0,"Biryani, South Indian, North Indian","108, 1-7-392 to 394, Circle 29, Sarojini Devi Road, Paradise Circle, Secunderabad",Hyderabad,/hyderabad/telangana-spice-kitchen-paradise-circle-secunderabad/info,https://b.zmtcdn.com/data/pictures/chains/9/18683769/e21efb7c60d1e63fa5c515f84fca19f4_featured_v2.jpg
Babylon Bar And Kitchen,4.3,4520.0,"Asian, Sushi, Chinese","Plot 346, 8-2-193/82/A/346/1, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/babylon-bar-and-kitchen-jubilee-hills/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png
Verandah - The Park,4.2,3734.0,"North Indian, Continental, Chinese","22, Raj Bhavan Road, The Park, Somajiguda, Hyderabad",Hyderabad,/hyderabad/verandah-the-park-somajiguda/info,https://b.zmtcdn.com/data/pictures/7/91727/932a967c3e83a45082a5d993f089bff3_featured_v2.jpg
The Grandline - World's Largest Buffet,4.2,1243.0,"North Indian, South Indian, Continental","5th Floor, Sarath city capital mall, Whitefields, Kondapur, Hyderabad",Hyderabad,/hyderabad/the-grandline-worlds-largest-buffet-kondapur/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png
Aqua - The Park,4.2,2631.0,"North Indian, Continental, Fast Food","22, Raj Bhavan Road, The Park, Somajiguda, Hyderabad",Hyderabad,/hyderabad/aqua-the-park-somajiguda/info,https://b.zmtcdn.com/data/pictures/8/92578/60882a9661bb01c9fdd4f166ac0366f3_featured_v2.jpg
Macaw by stories,4.234118852459017,1991.6997950819673,"Pizza, Fast Food, Sandwich","No 873 Block, 2, Road No. 45 Jubilee Hills, CBI Colony, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/macaw-by-stories-jubilee-hills/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png
Cafe Liora,4.3,87.0,"Cafe, American, Italian","Plot 13, Samathapuri Colony, Samathapur, Road 4, Nagole, Hyderabad",Hyderabad,/hyderabad/cafe-liora-nagole/info,https://b.zmtcdn.com/data/pictures/6/22663236/455243207764263ad934c08664f0c437_o2_featured_v2.jpg
MOAI,4.5,4829.0,"Modern Indian, Alcoholic Beverages, Pasta","Survey 237, Plot 139, Anvaya Conventions Road, Financial District, Hyderabad",Hyderabad,/hyderabad/moai-financial-district/info,https://b.zmtcdn.com/data/pictures/8/21819518/fb1aea765438bf1992bf367a05cf9fb8_featured_v2.jpg
